Temperature,Appliances_Used,Time_of_Day,Previous_Usage,Electricity_Consumption
23,3,23,16,19.8
24,4,21,25,24.9
33,3,0,10,17.4
36,12,0,25,36.5
37,9,7,22,34
20,5,22,21,24.1
24,6,10,11,19.3
23,8,11,27,30.2
21,10,17,11,27.4
32,4,17,17,25.9
31,12,6,30,37.6
27,7,2,15,25.7
32,7,14,28,34.7
25,8,11,14,25.9
22,12,20,13,29.6
27,5,14,20,24.6
37,6,21,18,30.8
21,6,1,18,22.2
22,6,18,30,29.9
35,9,20,22,32.9
24,6,23,25,29.4
38,9,18,20,33.4
24,11,15,10,27.9
23,5,20,13,22.6
33,12,2,20,34
34,11,8,25,38.1
20,4,21,25,26.4
30,4,9,21,23.8
20,7,16,13,22.5
23,7,20,24,29.7
24,8,5,25,31.6
36,3,19,18,25.3
23,8,9,15,23.1
38,4,2,23,29.2
37,5,4,29,31.9
37,5,8,24,31.4
33,6,17,30,32.6
29,9,21,28,35.1
36,10,3,15,29.5
30,3,18,25,25.8
27,3,2,30,27.4
27,4,1,18,20.3
27,7,21,23,29
24,12,18,23,33.9
35,9,6,11,25.8
33,8,13,21,31.2
21,4,1,20,22.1
23,6,6,14,21.8
24,9,5,16,26.4
22,10,17,11,24
37,3,2,15,21.1
35,10,6,20,34.7
25,9,0,20,27.4
34,7,13,30,36.7
37,10,4,14,29.7
21,12,23,25,33.7
30,3,1,26,25.6
36,5,1,24,27.2
25,4,19,10,19.9
27,9,3,26,31.2
21,12,2,21,32
38,11,10,16,32.4
30,6,8,20,25.5
29,10,10,10,24.7
38,4,2,25,27.8
28,5,11,10,22
31,7,5,22,30.5
29,12,20,24,35.1
37,7,21,11,28.9
24,7,3,11,22.4
24,7,9,27,28.8
30,6,21,28,33.7
36,10,8,9,26.5
33,7,1,8,21.7
24,7,5,22,27.3
33,11,0,11,26.9
24,11,1,19,30.3
24,9,4,9,22.1
21,8,6,29,30
23,8,17,21,30.6
24,6,5,13,22.9
20,5,23,18,24.4
33,6,8,13,25.5
23,9,1,23,28.2
34,8,9,15,27.1
26,9,10,16,29.1
28,8,20,24,31.6
37,8,0,11,27.7
28,5,18,16,22.4
33,8,23,18,30.5
36,4,12,26,28.6
21,9,0,24,30.8
37,6,11,21,28.2
30,12,10,29,40.3
29,11,9,29,36.9
32,7,17,12,24.5
32,5,19,26,29.7
37,3,9,17,22.9
38,12,20,18,36.7
34,6,16,23,31.7
