Student_ID,Gender,Age,Study_Hours,Attendance,Maths,Science,English,Computer
1,Male,18,2,85,78,82,75,88
2,Female,19,4,92,90,89,91,95
3,Male,18,3,80,65,70,68,72
4,Female,20,5,96,95,94,93,97
5,Male,19,1,70,55,60,58,62
6,Female,18,4,88,84,86,85,89
7,Male,20,2,75,69,71,67,73
8,Female,19,6,98,98,99,97,100
9,Male,18,3,82,74,76,72,80
10,Female,20,5,94,92,90,93,96
11,Male,19,2,78,70,68,71,75
12,Female,18,4,90,88,87,89,91
13,Male,20,1,65,50,55,52,60
14,Female,19,5,97,96,95,94,98
15,Male,18,3,84,79,81,77,83
