Passenger_ID,Age,Gender,Travel_Class,Travel_Distance,Ticket_Price,Delay_Minutes,Satisfaction_Score
1,68,Female,Sleeper,1734,3468,68,7
2,36,Male,First,1831,9155,16,9
3,60,Male,Second,304,608,177,2
4,50,Female,Sleeper,1774,3548,94,7
5,44,Female,First,1960,9800,110,5
6,29,Female,Second,1730,3460,146,6
7,51,Male,Sleeper,1163,2326,14,10
8,43,Female,First,1820,7280,72,7
9,50,Female,Second,1611,4833,132,5
10,64,Male,First,1150,5750,166,4
11,45,Female,Second,1246,2492,59,8
12,18,Male,First,819,4095,166,4
13,37,Female,Second,804,1608,110,6
14,36,Female,Second,1164,3492,20,9
15,52,Male,Sleeper,1880,3760,73,8
16,53,Male,Sleeper,351,702,144,5
17,44,Male,Sleeper,635,635,102,5
18,62,Male,Second,610,1220,159,5
19,29,Male,Sleeper,1226,1226,173,3
20,54,Male,Second,1064,2128,97,8
21,68,Female,Second,631,1893,2,10
22,42,Female,Sleeper,851,851,136,6
23,24,Female,First,218,872,134,4
24,66,Male,First,568,1704,49,8
25,52,Male,First,1572,4716,71,9
26,28,Male,Second,1015,3045,10,10
27,33,Female,Second,1243,3729,110,5
28,47,Female,Sleeper,1210,2420,6,10
29,56,Female,First,380,1140,81,7
30,53,Male,Second,958,1916,79,7
31,55,Female,Sleeper,1582,1582,73,7
32,28,Female,Second,1256,3768,147,5
33,38,Male,Sleeper,1550,3100,43,9
34,38,Female,First,800,2400,113,7
35,36,Female,Sleeper,347,347,33,9
36,64,Female,First,1857,9285,39,9
37,69,Female,Second,754,2262,17,9
38,43,Male,Second,1696,3392,178,4
39,50,Male,Sleeper,1984,3968,8,9
40,67,Male,Second,1774,5322,149,5
41,66,Male,First,116,348,43,10
42,36,Male,Second,737,2211,29,8
43,37,Female,First,1319,5276,143,5
44,24,Female,Second,935,2805,110,5
45,62,Female,Second,1564,4692,120,7
46,66,Female,Second,1225,2450,75,7
47,62,Female,Second,1614,4842,49,8
48,28,Female,Second,78,156,51,8
49,37,Female,Second,1346,2692,178,3
50,56,Female,Second,1542,4626,11,9
51,54,Female,Second,610,1830,125,5
52,54,Female,Sleeper,133,266,170,5
53,65,Female,Second,1298,3894,97,8
54,62,Female,First,790,3160,141,6
55,70,Male,Second,1844,3688,152,5
56,45,Male,Sleeper,402,402,88,7
57,63,Male,Second,1186,3558,43,10
58,48,Male,Sleeper,811,811,163,5
59,32,Male,Sleeper,1619,1619,12,10
60,21,Male,Second,748,2244,111,6
61,44,Female,First,642,1926,70,8
62,30,Male,First,1241,4964,84,8
63,61,Female,Sleeper,1739,3478,36,9
64,60,Female,Second,893,2679,132,4
65,38,Female,Sleeper,1080,2160,30,10
66,20,Male,First,935,3740,59,9
67,44,Female,Second,790,1580,178,3
68,34,Male,Sleeper,1892,3784,149,5
69,49,Male,Sleeper,1717,3434,98,6
70,21,Female,Second,1475,4425,146,6
71,40,Female,First,1115,4460,46,9
72,59,Female,Sleeper,1095,2190,104,5
73,62,Female,Second,1915,5745,96,8
74,31,Female,Sleeper,593,1186,28,9
75,59,Male,First,539,2156,17,10
76,18,Male,Second,1964,5892,44,8
77,66,Male,Second,1198,2396,175,2
78,69,Female,First,828,2484,154,5
79,67,Female,Second,1968,5904,174,3
80,31,Female,Sleeper,1541,1541,103,5
81,70,Female,Second,901,2703,167,5
82,27,Female,Second,1136,2272,84,6
83,51,Male,Second,1270,2540,123,5
84,37,Male,Sleeper,1922,1922,105,7
85,20,Male,Sleeper,1400,1400,85,7
86,68,Male,Second,1473,4419,13,9
87,32,Female,Sleeper,1183,1183,122,6
88,51,Male,First,1938,7752,130,4
89,70,Female,Sleeper,1207,2414,73,7
90,40,Male,First,224,672,129,5
91,25,Male,Sleeper,1575,1575,71,9
92,37,Female,Second,864,1728,65,9
93,21,Female,Second,529,1058,34,9
94,50,Female,Second,1267,3801,114,7
95,35,Female,Sleeper,402,402,9,10
96,25,Male,Second,1643,4929,18,10
97,18,Female,Second,1622,3244,95,8
98,48,Female,Second,1209,3627,67,7
99,51,Female,Second,143,429,6,9
100,55,Female,First,1782,5346,117,6
101,36,Male,First,498,2490,12,10
102,33,Female,First,1090,3270,128,6
103,67,Female,Sleeper,762,1524,43,10
104,59,Female,Sleeper,1466,1466,13,10
105,30,Female,First,80,240,177,3
106,60,Female,Sleeper,1413,2826,108,7
107,37,Female,First,1860,7440,142,6
108,55,Male,First,1911,7644,148,6
109,18,Male,Second,1551,4653,29,9
110,49,Female,Sleeper,165,330,10,10
111,59,Female,Second,787,1574,71,7
112,67,Male,First,1609,4827,43,9
113,30,Male,Sleeper,310,620,128,6
114,42,Female,Second,1067,3201,149,4
115,62,Male,First,306,1530,146,4
116,61,Female,Second,1730,3460,36,10
117,62,Female,Sleeper,385,385,0,9
118,56,Female,First,1534,6136,21,10
